predicted_species,random_intercept,random_intercept_se,random_score_slope,random_score_slope_se,validation_n,validation_events,confirmation_rate,score_min,score_max,model_id
Eurasian Nightjar,-0.5859736736331131,1.828469006338166,0.005651872104961866,0.8615140873522231,2,2,0,0.455336,0.50266665,M4
Eurasian Nutcracker,-1.0459965548520862,1.6183004462567363,-0.02138221255557333,0.8582949123343417,4,4,0,0.4692543,0.5965649,M4
Eurasian Nuthatch,1.3172370351606348,0.7095918057244296,-0.09900365048454145,0.7693684795445027,10,10,0.5,0.4629358,0.9344449,M4
Eurasian Oystercatcher,-1.18455611581037,1.5923874365106732,-0.07017636136928261,0.8454746467591835,4,4,0,0.45416543,0.6787676,M4
Eurasian Penduline-Tit,-1.1216109219111978,1.5940550076563211,-0.036620631237933375,0.8569651470875512,4,4,0,0.46081445,0.5942314,M4
Eurasian Pygmy-Owl,-1.8058005788224678,1.5539316308681463,-0.3290597700894302,0.7846640586515784,4,4,0,0.5171884,0.83903164,M4
Eurasian Reed Warbler,-1.0877349048349287,1.6020776503997896,-0.025646515852787606,0.8593718846630926,4,4,0,0.46662307,0.5856449,M4
Eurasian Scops-Owl,-0.46314637018678445,1.1456202959838657,0.25694056673516774,0.7657428456219244,6,6,0.3333333333333333,0.46691138,0.9199725,M4
Eurasian Siskin,1.2485088968337148,0.8809764285921106,-0.07654730360247672,0.77832844682572,6,6,0.5,0.45545152,0.79839325,M4
Eurasian Thick-knee,1.1249384953536907,1.731242077695041,0.20556489402880998,0.8183829177454377,1,1,1,0.78177744,0.78177744,M4
Eurasian Three-toed Woodpecker,-2.264095711049523,1.6442688514144341,-0.7362277645797037,0.6666333998329611,6,6,0,0.5115002,0.943582,M4
Eurasian Treecreeper,-0.3049785406525081,2.0079984526702663,0.008507538228502583,0.8613925739959606,1,1,0,0.451454,0.451454,M4
Eurasian Wigeon,-0.7972060861295646,1.7198610552034692,6.302969720318516e-4,0.8611071438242466,3,3,0,0.4667895,0.5348269,M4
Eurasian Woodcock,2.4484740805431975,1.4007430556258382,0.10423644207779818,0.8316322295696844,4,4,1,0.5182914,0.9909566,M4
Eurasian Wren,2.9937933391461926,0.6331498056712247,-0.36021791499209443,0.6714342602174863,34,34,0.9117647058823529,0.47069576,0.98828703,M4
Eurasian Wryneck,0.3502552799029089,0.6273241519427533,0.1376936233736543,0.5497489624785091,37,37,0.5675675675675675,0.461979,0.96215445,M4
European Bee-eater,-1.4018350051948505,1.7066652847275785,-0.2919148236257561,0.8026486090725325,1,1,0,0.81063586,0.81063586,M4
European Golden-Plover,0.5958804681477347,1.0989760801090127,0.24836271178471278,0.8449023220854517,4,4,0.25,0.46683273,0.62244093,M4
European Goldfinch,2.1591441781386367,1.516106778031768,0.038813870297687715,0.8613726386005367,1,1,1,0.53134185,0.53134185,M4
European Greenfinch,-0.6903077203428513,1.8074657349674732,-0.04513596764406597,0.8571374461808485,1,1,0,0.6122056,0.6122056,M4
European Honey-buzzard,-0.8389734393403384,1.3395122810701718,0.19238741779503937,0.7508014804240852,6,6,0.16666666666666666,0.4516032,0.89044964,M4
