scenario,scenario_label,year_month,q,q_label,mean,sd,median,lower_95,upper_95
Primary_M2,Primary M2: pooled,2024-04,2,q = 2: Inverse Simpson,4.87835527345713,0.08921252775977037,4.879595034014596,4.702214785580608,5.042734786165416
Audio_only,Audio-only sensitivity,2021-12,0,q = 0: Richness,28.295,2.206091983993832,28,24,32
Audio_only,Audio-only sensitivity,2021-12,1,q = 1: Exponential Shannon,8.15380802060861,0.5126363257945006,8.14268052889269,7.104898370972819,9.19402550167955
Audio_only,Audio-only sensitivity,2021-12,2,q = 2: Inverse Simpson,4.361856910413716,0.22863842711176366,4.350102760749049,3.93585179035004,4.841953562525748
Audio_only,Audio-only sensitivity,2022-01,0,q = 0: Richness,44.431,3.2424917506067388,44,38,51
Audio_only,Audio-only sensitivity,2022-01,1,q = 1: Exponential Shannon,8.328365440382198,0.4287129997795095,8.325961638502616,7.462480264301291,9.149597067263052
Audio_only,Audio-only sensitivity,2022-01,2,q = 2: Inverse Simpson,4.255164379327606,0.20026723333844015,4.245411342121954,3.8838022761975073,4.708678245630338
Audio_only,Audio-only sensitivity,2022-02,0,q = 0: Richness,45.456,2.9831129651696,45.5,39.34166666666667,51
Audio_only,Audio-only sensitivity,2022-02,1,q = 1: Exponential Shannon,11.614265499663837,0.6203627329630577,11.618110683980568,10.410184742762123,12.849702960853339
Audio_only,Audio-only sensitivity,2022-02,2,q = 2: Inverse Simpson,6.597027346784148,0.31090595894636736,6.603764413915028,6.000875119329677,7.186967957371484
Audio_only,Audio-only sensitivity,2022-08,0,q = 0: Richness,28.82,2.206914241757135,29,25,33
Audio_only,Audio-only sensitivity,2022-08,1,q = 1: Exponential Shannon,12.941010956968011,0.7670074229894749,12.899896914169382,11.478102254675987,14.548001844397785
Audio_only,Audio-only sensitivity,2022-08,2,q = 2: Inverse Simpson,8.473429176313475,0.45163371897528976,8.471386252342665,7.608770306905626,9.379907042494859
Audio_only,Audio-only sensitivity,2022-09,0,q = 0: Richness,68.892,4.208568408384025,69,60,77
Audio_only,Audio-only sensitivity,2022-09,1,q = 1: Exponential Shannon,7.857293537936649,0.3056327048641419,7.8528584494768054,7.277006190261647,8.482061612686072
Audio_only,Audio-only sensitivity,2022-09,2,q = 2: Inverse Simpson,4.498426810137922,0.13480332146941312,4.493175405527239,4.230093558901487,4.7743738881168065
Audio_only,Audio-only sensitivity,2022-10,0,q = 0: Richness,70.786,3.9741663274198777,71,63,79
Audio_only,Audio-only sensitivity,2022-10,1,q = 1: Exponential Shannon,7.306872653063646,0.29574527660062616,7.298456060331484,6.748053228724139,7.8965152951314215
Audio_only,Audio-only sensitivity,2022-10,2,q = 2: Inverse Simpson,4.052658916462096,0.12766455581550767,4.051169926806952,3.7990836987466885,4.315130533631946
Audio_only,Audio-only sensitivity,2022-11,0,q = 0: Richness,56.633,3.3113858543329373,57,50,63
Audio_only,Audio-only sensitivity,2022-11,1,q = 1: Exponential Shannon,7.009295682300409,0.31829768241050016,7.005253430610956,6.4449487187920855,7.63965892375453
Audio_only,Audio-only sensitivity,2022-11,2,q = 2: Inverse Simpson,3.3724224472948703,0.14120026844165284,3.3688144175289887,3.1199223066274833,3.696582316667246
